"","AMBI","microgAMBI","PI","PI5yAvg","PI10yAvg","Redox","Redox5yAvg","Redox10yAvg","OM","OM5yAvg","OM10yAvg"
"Halomonas",66.61,66.68,0,0,59.33,0,0,0,0,0,0
"Alcanivorax",0,0,55.38,56.65,55.41,57.77,53.69,56.43,53.78,51.47,0
"Kangiella",84.26,0,0,78.57,80.79,0,77.23,80.01,0,79.12,75.17
"Marinobacterium",75.89,71.01,65.1,63.4,63.39,57.8,69.59,62.3,0,70.01,66.17
"Marinomonas",0,37.54,0,0,0,0,0,0,0,0,0
"Thalassolituus",0,37.68,0,0,0,0,0,0,0,0,0
"Pseudohongiella",72.61,76.14,0,61.5,0,0,68.9,66.4,66.08,68.76,67.06
"Reinekea",66.76,0,0,0,0,0,0,72.09,0,0,0
"Oceanospirillum",0,0,0,35.08,39.51,0,0,0,0,0,0
"Neptunomonas",0,35.17,0,0,0,0,0,0,0,0,0
"Oceanobacter",0,25.61,0,0,0,0,0,0,0,0,13.29
