Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
EN17_S_Wi2018,15034,15034,4455,4455,3463.3937539132,7.275116539,0.8659015724,0.8926518716,0.9972815642,10768.3722435441,9713.510373444
EN17_S_Wi2019,34746,34746,8003,8003,3605.8033973284,7.4131782403,0.8248254864,0.9051168269,0.9960559902,18432.1926460523,17343.7099358974
EN20_S_Su2017,21570,21570,4667,4667,2905.5520229316,6.8964235873,0.8163117611,0.8648226862,0.9950534158,10951.5335433782,9984.3455284553
EN20_S_Su2018,17965,17965,3899,3899,2707.9362387374,6.7141266177,0.8120150695,0.8494655632,0.9940362468,9578.0245288208,8999.6847635727
EN20_S_Wi2013,78580,78579,13384,13383,3719.4164505991,7.6630904062,0.8064869933,0.9320995266,0.9971110704,27349.1640747268,25412.955654102
EN20_S_Wi2013RNA,24569,24569,5593,5593,3206.7154192161,7.150511641,0.8286344886,0.8857313841,0.9966912282,12743.5494731132,11715.2874583796
EN20_S_Wi2015,23324,23324,5315,5315,3171.8333393534,7.1181535765,0.8297871714,0.8829193936,0.9966470112,11261.2100053889,10108.5309278351
EN20_S_Wi2016,59008,59008,8566,8566,3032.4548128901,7.0877350555,0.7826946166,0.884074108,0.9945798032,15782.2854638474,14387.0691785053
EN20_S_Wi2016RNA,21246,21246,4529,4529,2964.7597723728,7.0342473545,0.8355943302,0.8798801961,0.9961359572,8532.8892612181,7704.555431131
EN20_S_Wi2017,23147,23147,5438,5438,3192.6199018469,7.1121466545,0.8268816272,0.8814601259,0.9960168864,13474.0001999375,12564.4135338346
EN20_S_Wi2017RNA,29262,29262,5397,5397,2921.0894178081,6.9657448591,0.8105736893,0.872931872,0.9951475002,10110.2016199226,9162.1035474593
EN20_S_Wi2018,33131,33131,7163,7163,3314.9108741289,7.2211031134,0.8134910489,0.8908138918,0.9957163407,17668.2439142369,16077.9908340972
EN20_S_Wi2018RNA,19674,19674,4471,4471,3054.3425194756,7.0973241672,0.8443800074,0.8844767521,0.9966782278,8541.731252607,7496.6739130435
EN20_S_Wi2019,30210,30210,7390,7390,3609.463159248,7.3553238974,0.8257095301,0.8979418443,0.9960086895,17632.3144205217,16444.4054054054
EN30_S_Su2017,27086,27086,6646,6646,3637.3867920534,7.5601569462,0.8589359368,0.9220804705,0.9977602905,14404.1836151663,13676.2383222116
EN30_S_Su2017RNA,11780,11779,4546,4545,4133.2853101085,7.66131924,0.9096789963,0.9200765746,0.99850698,10418.386180703,9212.1169451074
EN30_S_Su2018,23838,23838,4912,4912,2956.1722634504,7.0055371923,0.824235491,0.8766070467,0.9955907313,10132.2482953453,9672.5478589421
EN30_S_Wi2013,22002,22002,5336,5336,3272.4455451433,7.1505613379,0.8331820535,0.8835169397,0.9960790311,12396.5335118763,11460.1914387634
EN30_S_Wi2016,84061,84059,8242,8240,2797.0664456073,7.0503792209,0.7818986959,0.8883680965,0.9954172384,12369.2681806245,11625.6178861789
EN30_S_Wi2017,55429,55429,7491,7491,2973.1988319498,7.1071194086,0.7966320913,0.8886794467,0.9955060547,12189.0879364449,11431.6170360111
EN30_S_Wi2018,29486,29486,5225,5225,2870.503415718,7.0269371223,0.8207878395,0.8825323954,0.9959914849,9843.3348784362,9758.890797546
EN30_S_Wi2019,48272,48270,8402,8400,3384.4529183074,7.3946255547,0.8183312735,0.9098896611,0.9967447903,15312.451546985,14458.023255814
EN_Asua_S_Wi2019,47798,47798,9439,9439,3660.1039664904,7.7014445126,0.8414483354,0.93859998,0.9982883234,18859.1599203501,17062.3465346535
EN_Axpe_S_Wi2019,52817,52811,7277,7271,2948.4132662131,6.7345977051,0.7573367917,0.8429814492,0.980433763,11969.5343707291,10972.9571719918
EN_LasArenas_S_Wi2019,36830,36829,5293,5292,2574.4360667516,6.7703171804,0.789620511,0.8620889595,0.9944418798,9493.9122145989,8850.0714285714
EN_Sestao_S_Wi2019,53175,53174,2872,2871,1139.0151929817,5.0673372099,0.6363791837,0.7200050174,0.9791965058,5345.8579625651,4826.9132947977
EO05_S_Wi2013,23880,23880,4405,4405,2532.0354970915,6.1789911215,0.7364274366,0.7884605751,0.9775797083,10650.3650044798,9895.6929955291
EO05_S_Wi2013RNA,17280,17280,4030,4030,2948.4598712038,7.0158273076,0.84512546,0.8781817161,0.9965553198,8339.3467252245,7417.2841677943
EO05_S_Wi2015,15337,15336,4538,4537,3502.6755519133,7.3065028064,0.8677307727,0.8952640589,0.99763275,10196.6182274277,8861.5512367491
EO05_S_Wi2016,46937,46937,7338,7338,2977.225190117,7.2049558399,0.8094708736,0.9007605614,0.9970708185,14204.127443392,13259.0741910024
EO05_S_Wi2017,27043,27042,7106,7105,3727.027448766,7.5936722312,0.8562333492,0.9234262451,0.9981631462,17882.8128815769,17019.9920948617
EO05_S_Wi2017RNA,24776,24776,5779,5779,3372.0213361961,7.3833830413,0.8523891744,0.9089178595,0.9978318814,11912.3036077973,10850.4488802337
EO05_S_Wi2018,16828,16828,4143,4143,2970.0337719453,6.7590107882,0.8114861831,0.8452642611,0.9939222248,10745.0914003868,10243.0692041522
EO05_S_Wi2019,28790,28790,6584,6584,3444.9078440453,7.4761622217,0.8502984556,0.9179228069,0.9980979487,14286.4957959259,12828.4288209607
EO10_S_Wi2013,22460,22460,7271,7271,4180.1533232288,7.6594940092,0.8614255817,0.9186134809,0.9975604478,20441.435900338,18085.2550644567
EO10_S_Wi2015,25099,25098,6761,6760,3781.7235872488,7.3002527869,0.827793851,0.8861750724,0.9920424811,14733.8202865904,13236.661525974
EO10_S_Wi2016,38736,38736,8723,8723,3759.9729825031,7.7111997249,0.849838986,0.9367156518,0.9982384037,19021.057398139,17319.2049012934
EO10_S_Wi2017A,20478,20477,5708,5707,3687.1798819985,7.5727630111,0.8755019906,0.9220888835,0.9981135833,12971.4004221796,12312.4589977221
EO10_S_Wi2017B,41662,41662,8648,8648,3797.4509477504,7.8019679718,0.8606614702,0.9466012145,0.9984461719,16134.5506870996,15315.809587217
EO10_S_Wi2017RNA,40247,40247,7473,7473,3541.8201663603,7.7006921805,0.8633980775,0.9422808363,0.9984748543,12699.1225040683,11899.0410367171
EO10_S_Wi2018,22110,22110,4894,4894,3064.0029947641,7.1428502997,0.8407541987,0.8898001013,0.9963683863,10579.7522838653,10006.6466753585
EO10_S_Wi2019,24594,24592,7708,7706,4411.9408028579,8.0223742983,0.8963532651,0.955947023,0.9988216243,16572.6559064774,15006.2893401015
EOI10_S_Su2017,25672,25672,4948,4948,2862.1069664106,6.8119011913,0.8007652997,0.85584031,0.9910839028,10115.6291057384,9686.8537200504
EOI10_S_Su2017RNA,25176,25176,4546,4546,2747.4242808389,6.8671561282,0.8153827688,0.867238273,0.993367623,8281.8385991871,7621.2579132474
EOI10_S_Su2018,17135,17135,4340,4340,3076.0614396999,6.834010037,0.8159398566,0.8509108653,0.9915852528,11389.9225668505,10829.0050251256
EOI10_S_Wi2013,26709,26709,6265,6265,3273.4956592306,6.7492524535,0.7719842049,0.8338985158,0.9809610104,16263.4750803395,15403.2239819005
EOI10_S_Wi2015,13242,13241,4546,4545,3811.5034045759,7.1440700628,0.8482625878,0.8663911652,0.9902920643,11235.493887104,9835.4298245614
EOI10_S_Wi2016,45778,45777,7994,7993,3180.012264343,7.1051643271,0.7906533796,0.8810268077,0.9923589966,16090.0626103364,14546.1755725191
EOI10_S_Wi2017,40306,40306,7988,7988,3369.5809450582,7.036492146,0.7830770577,0.8662916981,0.9874586245,16570.9820513625,15260.8460431655
EOI10_S_Wi2017RNA,30585,30585,5960,5960,3055.8326265614,7.0057901575,0.805927825,0.8730166128,0.994063906,12208.3764427781,10712.2651245552
EOI10_S_Wi2018,23707,23706,5412,5411,3096.6795556916,6.8125427613,0.792490272,0.8475329837,0.9897154906,13583.8401910121,12523.5621156212
